date,average_price,total_volume,type,year,geography
4/1/2015,0.95,31324277.73,conventional,2015,Total U.S.
11/1/2015,1.01,29063542.75,conventional,2015,Total U.S.
18/1/2015,1.03,29043458.85,conventional,2015,Total U.S.
25/1/2015,1.04,28470310.84,conventional,2015,Total U.S.
1/2/2015,0.89,44655461.51,conventional,2015,Total U.S.
8/2/2015,0.95,32137333.01,conventional,2015,Total U.S.
15/2/2015,1.03,28012520.93,conventional,2015,Total U.S.
22/2/2015,1.02,29936729.76,conventional,2015,Total U.S.
1/3/2015,0.97,32994014.16,conventional,2015,Total U.S.
8/3/2015,1.02,30094698.85,conventional,2015,Total U.S.
15/3/2015,1.04,29572225.71,conventional,2015,Total U.S.
22/3/2015,1.01,32513550.51,conventional,2015,Total U.S.
29/3/2015,1.04,29982648.43,conventional,2015,Total U.S.
5/4/2015,1.06,31500669.44,conventional,2015,Total U.S.
12/4/2015,1.02,32046401.64,conventional,2015,Total U.S.
19/4/2015,1.03,33091256.26,conventional,2015,Total U.S.
26/4/2015,1.07,30894157.8,conventional,2015,Total U.S.
3/5/2015,0.96,41291704.39,conventional,2015,Total U.S.
10/5/2015,1.02,36400886.58,conventional,2015,Total U.S.
17/5/2015,1.06,32027686.15,conventional,2015,Total U.S.
24/5/2015,1.04,35344183.15,conventional,2015,Total U.S.
31/5/2015,1.03,33720159.09,conventional,2015,Total U.S.
7/6/2015,1,36549995.66,conventional,2015,Total U.S.
14/6/2015,0.98,37026085.75,conventional,2015,Total U.S.
21/6/2015,1.02,35734613.9,conventional,2015,Total U.S.
28/6/2015,1.06,32408705.7,conventional,2015,Total U.S.
5/7/2015,1.04,37943670.34,conventional,2015,Total U.S.
12/7/2015,1.07,31660031.68,conventional,2015,Total U.S.
19/7/2015,1.07,32324647.66,conventional,2015,Total U.S.
26/7/2015,1.07,30652211.08,conventional,2015,Total U.S.
2/8/2015,1.09,30358467.88,conventional,2015,Total U.S.
9/8/2015,1.05,33254911.87,conventional,2015,Total U.S.
16/8/2015,1.05,31936856.18,conventional,2015,Total U.S.
23/8/2015,1.08,29699845.61,conventional,2015,Total U.S.
30/8/2015,1.07,29761638.48,conventional,2015,Total U.S.
6/9/2015,1.02,33526480.08,conventional,2015,Total U.S.
13/9/2015,1.03,31245835.65,conventional,2015,Total U.S.
20/9/2015,1.02,29569086.56,conventional,2015,Total U.S.
27/9/2015,1.03,27753508.14,conventional,2015,Total U.S.
4/10/2015,1.02,28243505.52,conventional,2015,Total U.S.
11/10/2015,1,29216198.15,conventional,2015,Total U.S.
18/10/2015,0.99,29375123.6,conventional,2015,Total U.S.
25/10/2015,1.04,26240072.11,conventional,2015,Total U.S.
1/11/2015,0.97,31047484.27,conventional,2015,Total U.S.
8/11/2015,0.97,28485715.97,conventional,2015,Total U.S.
15/11/2015,0.92,28597756.27,conventional,2015,Total U.S.
22/11/2015,0.96,25114228.11,conventional,2015,Total U.S.
29/11/2015,0.99,22617999.38,conventional,2015,Total U.S.
6/12/2015,0.89,28800396.57,conventional,2015,Total U.S.
13/12/2015,0.93,28041335.38,conventional,2015,Total U.S.
20/12/2015,0.98,25083647.17,conventional,2015,Total U.S.
27/12/2015,0.95,27297983.67,conventional,2015,Total U.S.
3/1/2016,0.86,38142088.04,conventional,2016,Total U.S.
10/1/2016,0.93,35264336.01,conventional,2016,Total U.S.
17/1/2016,0.94,34426341.87,conventional,2016,Total U.S.
24/1/2016,0.95,32787079.21,conventional,2016,Total U.S.
31/1/2016,0.93,34721249.92,conventional,2016,Total U.S.
7/2/2016,0.76,52288697.89,conventional,2016,Total U.S.
14/2/2016,0.88,36476441.86,conventional,2016,Total U.S.
21/2/2016,0.94,32804733.22,conventional,2016,Total U.S.
28/2/2016,0.91,36801817.68,conventional,2016,Total U.S.
6/3/2016,0.95,35064506.04,conventional,2016,Total U.S.
13/3/2016,0.93,36374516.14,conventional,2016,Total U.S.
20/3/2016,0.93,36335483.78,conventional,2016,Total U.S.
27/3/2016,0.94,35930195.92,conventional,2016,Total U.S.
3/4/2016,0.94,33668450.55,conventional,2016,Total U.S.
10/4/2016,0.9,36584029.39,conventional,2016,Total U.S.
17/4/2016,0.9,37467885.19,conventional,2016,Total U.S.
24/4/2016,0.87,39607695.3,conventional,2016,Total U.S.
1/5/2016,0.84,42867608.54,conventional,2016,Total U.S.
8/5/2016,0.82,46324529.7,conventional,2016,Total U.S.
15/5/2016,0.89,39914996.74,conventional,2016,Total U.S.
22/5/2016,0.93,36958035.51,conventional,2016,Total U.S.
29/5/2016,0.94,40019075.24,conventional,2016,Total U.S.
5/6/2016,0.97,40231259.65,conventional,2016,Total U.S.
12/6/2016,1.04,35580820,conventional,2016,Total U.S.
19/6/2016,1.02,38489936.14,conventional,2016,Total U.S.
26/6/2016,1.04,36617023.79,conventional,2016,Total U.S.
3/7/2016,1.06,39993186.04,conventional,2016,Total U.S.
10/7/2016,1.1,35567568.43,conventional,2016,Total U.S.
17/7/2016,1.15,32656123.63,conventional,2016,Total U.S.
24/7/2016,1.2,32339377.09,conventional,2016,Total U.S.
31/7/2016,1.23,31201590.22,conventional,2016,Total U.S.
7/8/2016,1.15,33819909.09,conventional,2016,Total U.S.
14/8/2016,1.12,34386177.3,conventional,2016,Total U.S.
21/8/2016,1.1,33592097.72,conventional,2016,Total U.S.
28/8/2016,1.09,33993931.31,conventional,2016,Total U.S.
4/9/2016,1.04,37130688.91,conventional,2016,Total U.S.
11/9/2016,1.08,34126730.95,conventional,2016,Total U.S.
18/9/2016,1.15,31346091.46,conventional,2016,Total U.S.
25/9/2016,1.22,30305112.89,conventional,2016,Total U.S.
2/10/2016,1.23,29615008.49,conventional,2016,Total U.S.
9/10/2016,1.27,28857581.98,conventional,2016,Total U.S.
16/10/2016,1.3,27707046.82,conventional,2016,Total U.S.
23/10/2016,1.34,24753513.95,conventional,2016,Total U.S.
30/10/2016,1.43,21009730.21,conventional,2016,Total U.S.
6/11/2016,1.44,22534698.38,conventional,2016,Total U.S.
13/11/2016,1.36,24075126.49,conventional,2016,Total U.S.
20/11/2016,1.27,24989702.75,conventional,2016,Total U.S.
27/11/2016,1.21,22923062.65,conventional,2016,Total U.S.
4/12/2016,1,31621221.9,conventional,2016,Total U.S.
11/12/2016,0.98,30093540.7,conventional,2016,Total U.S.
18/12/2016,0.96,29583882.61,conventional,2016,Total U.S.
25/12/2016,1,30287853.7,conventional,2016,Total U.S.
1/1/2017,0.89,38879716.85,conventional,2017,Total U.S.
8/1/2017,0.99,38049802.62,conventional,2017,Total U.S.
15/1/2017,0.98,38295488.31,conventional,2017,Total U.S.
22/1/2017,0.94,42140393.39,conventional,2017,Total U.S.
29/1/2017,0.96,39373579.25,conventional,2017,Total U.S.
5/2/2017,0.77,61034457.1,conventional,2017,Total U.S.
12/2/2017,0.87,41077470.65,conventional,2017,Total U.S.
19/2/2017,0.99,33905854.58,conventional,2017,Total U.S.
26/2/2017,0.99,37007797.69,conventional,2017,Total U.S.
5/3/2017,1.13,33684175.01,conventional,2017,Total U.S.
12/3/2017,1.22,32020573.94,conventional,2017,Total U.S.
19/3/2017,1.25,31595125.23,conventional,2017,Total U.S.
26/3/2017,1.24,32555119.32,conventional,2017,Total U.S.
2/4/2017,1.21,34468017.36,conventional,2017,Total U.S.
9/4/2017,1.21,34785712.55,conventional,2017,Total U.S.
16/4/2017,1.23,35182320.78,conventional,2017,Total U.S.
23/4/2017,1.18,35729013.92,conventional,2017,Total U.S.
30/4/2017,1.18,38315500.43,conventional,2017,Total U.S.
7/5/2017,1.09,47293921.6,conventional,2017,Total U.S.
14/5/2017,1.19,36634269.03,conventional,2017,Total U.S.
21/5/2017,1.26,34397651.15,conventional,2017,Total U.S.
28/5/2017,1.28,37030893.73,conventional,2017,Total U.S.
4/6/2017,1.24,37352360.59,conventional,2017,Total U.S.
11/6/2017,1.21,37039853.8,conventional,2017,Total U.S.
18/6/2017,1.18,38247669.33,conventional,2017,Total U.S.
25/6/2017,1.17,37305307.68,conventional,2017,Total U.S.
2/7/2017,1.21,38010426.16,conventional,2017,Total U.S.
9/7/2017,1.17,39367336.18,conventional,2017,Total U.S.
16/7/2017,1.33,32455047.11,conventional,2017,Total U.S.
23/7/2017,1.31,32608301.51,conventional,2017,Total U.S.
30/7/2017,1.32,31756097.22,conventional,2017,Total U.S.
6/8/2017,1.33,32529920.23,conventional,2017,Total U.S.
13/8/2017,1.33,32817254.13,conventional,2017,Total U.S.
20/8/2017,1.41,29913744.37,conventional,2017,Total U.S.
27/8/2017,1.47,28785279.75,conventional,2017,Total U.S.
3/9/2017,1.57,26808410.65,conventional,2017,Total U.S.
10/9/2017,1.56,26385081.36,conventional,2017,Total U.S.
17/9/2017,1.57,25394902.82,conventional,2017,Total U.S.
24/9/2017,1.62,24637148.38,conventional,2017,Total U.S.
1/10/2017,1.64,24610645.21,conventional,2017,Total U.S.
8/10/2017,1.65,24397166.19,conventional,2017,Total U.S.
15/10/2017,1.58,25031589.09,conventional,2017,Total U.S.
22/10/2017,1.44,26706971.51,conventional,2017,Total U.S.
29/10/2017,1.29,30237911.23,conventional,2017,Total U.S.
5/11/2017,1.19,32051594.24,conventional,2017,Total U.S.
12/11/2017,1.15,32336225,conventional,2017,Total U.S.
19/11/2017,1.17,29253484,conventional,2017,Total U.S.
26/11/2017,1.24,24686675,conventional,2017,Total U.S.
3/12/2017,1.09,33824253,conventional,2017,Total U.S.
10/12/2017,1.03,35634913.01,conventional,2017,Total U.S.
17/12/2017,1.07,30757767.03,conventional,2017,Total U.S.
24/12/2017,1.18,29102349.33,conventional,2017,Total U.S.
31/12/2017,0.98,38267341.61,conventional,2017,Total U.S.
1/1/2018,0.98,38267341.61,conventional,2018,Total U.S.
7/1/2018,1.13,36703156.72,conventional,2018,Total U.S.
14/1/2018,1.2,37299945.22,conventional,2018,Total U.S.
21/1/2018,1.08,42939821.55,conventional,2018,Total U.S.
28/1/2018,1.09,40171640.84,conventional,2018,Total U.S.
4/2/2018,0.87,62505646.52,conventional,2018,Total U.S.
11/2/2018,0.97,43167806.09,conventional,2018,Total U.S.
18/2/2018,1.08,36709887.49,conventional,2018,Total U.S.
25/2/2018,1.06,40021528.76,conventional,2018,Total U.S.
4/3/2018,1.07,40741214.05,conventional,2018,Total U.S.
11/3/2018,1.09,40449603.12,conventional,2018,Total U.S.
18/3/2018,1.05,41386314.12,conventional,2018,Total U.S.
25/3/2018,1.03,43409835.75,conventional,2018,Total U.S.
1/4/2018,1.1,41109688.72,conventional,2018,Total U.S.
8/4/2018,1.04,42964067.68,conventional,2018,Total U.S.
15/4/2018,1.03,47098677.68,conventional,2018,Total U.S.
22/4/2018,1.04,44313979.3,conventional,2018,Total U.S.
29/4/2018,1.07,43856758.99,conventional,2018,Total U.S.
6/5/2018,0.89,63716144.15,conventional,2018,Total U.S.
13/5/2018,1,46371245.84,conventional,2018,Total U.S.
20/5/2018,1.02,44458798.3,conventional,2018,Total U.S.
27/5/2018,1.03,47105314.28,conventional,2018,Total U.S.
3/6/2018,1.07,44705039.05,conventional,2018,Total U.S.
10/6/2018,1.03,45613372.42,conventional,2018,Total U.S.
17/6/2018,1.09,44009084.78,conventional,2018,Total U.S.
24/6/2018,1.04,44742749.88,conventional,2018,Total U.S.
1/7/2018,1.05,45572739.17,conventional,2018,Total U.S.
8/7/2018,1.03,47848189.79,conventional,2018,Total U.S.
15/7/2018,1.07,43126773.22,conventional,2018,Total U.S.
22/7/2018,1.1,41906916.84,conventional,2018,Total U.S.
29/7/2018,1.12,40512782.19,conventional,2018,Total U.S.
5/8/2018,1.15,39427666.54,conventional,2018,Total U.S.
12/8/2018,1.12,40901950.01,conventional,2018,Total U.S.
19/8/2018,1.13,40735732.68,conventional,2018,Total U.S.
26/8/2018,1.22,36867974.58,conventional,2018,Total U.S.
2/9/2018,1.29,36169161.57,conventional,2018,Total U.S.
9/9/2018,1.24,37484253.75,conventional,2018,Total U.S.
16/9/2018,1.22,35609955.39,conventional,2018,Total U.S.
23/9/2018,1.19,34866282.28,conventional,2018,Total U.S.
30/9/2018,1.1,37588534.16,conventional,2018,Total U.S.
7/10/2018,1.08,38061759.66,conventional,2018,Total U.S.
14/10/2018,1.08,36869560.39,conventional,2018,Total U.S.
21/10/2018,1.13,34002534.69,conventional,2018,Total U.S.
28/10/2018,1.01,39402226.58,conventional,2018,Total U.S.
4/11/2018,1.01,38363282.73,conventional,2018,Total U.S.
11/11/2018,1,39042283.34,conventional,2018,Total U.S.
18/11/2018,1.14,29871135.02,conventional,2018,Total U.S.
25/11/2018,1.25,21855493.69,conventional,2018,Total U.S.
2/12/2018,1.22,27652425.62,conventional,2018,Total U.S.
7/1/2019,1.02,44749707.48,conventional,2019,Total U.S.
13/1/2019,0.97,48088440.48,conventional,2019,Total U.S.
20/1/2019,0.99,47145264.29,conventional,2019,Total U.S.
27/1/2019,1.03,43574809.65,conventional,2019,Total U.S.
3/2/2019,0.84,62451514.93,conventional,2019,Total U.S.
10/2/2019,0.91,46702984.78,conventional,2019,Total U.S.
17/2/2019,0.96,42664975.38,conventional,2019,Total U.S.
24/2/2019,0.98,43682565.76,conventional,2019,Total U.S.
3/3/2019,1,44402424.87,conventional,2019,Total U.S.
10/3/2019,0.98,46192002.93,conventional,2019,Total U.S.
17/3/2019,0.94,48744675.54,conventional,2019,Total U.S.
24/3/2019,0.99,47068805.2,conventional,2019,Total U.S.
31/3/2019,0.99,45361322.61,conventional,2019,Total U.S.
7/4/2019,0.97,49306986.45,conventional,2019,Total U.S.
14/4/2019,1.05,45956798.68,conventional,2019,Total U.S.
21/4/2019,1.27,39009980.45,conventional,2019,Total U.S.
28/4/2019,1.37,35223603.67,conventional,2019,Total U.S.
5/5/2019,1.22,49213686.42,conventional,2019,Total U.S.
12/5/2019,1.24,43060975.95,conventional,2019,Total U.S.
19/5/2019,1.29,38309262.36,conventional,2019,Total U.S.
26/5/2019,1.31,40514870.62,conventional,2019,Total U.S.
2/6/2019,1.23,43111485.93,conventional,2019,Total U.S.
9/6/2019,1.22,43111833.62,conventional,2019,Total U.S.
16/6/2019,1.32,39221437.21,conventional,2019,Total U.S.
23/6/2019,1.34,38628187.43,conventional,2019,Total U.S.
30/6/2019,1.37,38035401.59,conventional,2019,Total U.S.
7/7/2019,1.46,38883159.64,conventional,2019,Total U.S.
14/7/2019,1.47,34945476.94,conventional,2019,Total U.S.
21/7/2019,1.5,33854234.81,conventional,2019,Total U.S.
28/7/2019,1.47,34727442.98,conventional,2019,Total U.S.
4/8/2019,1.41,35751881.43,conventional,2019,Total U.S.
11/8/2019,1.34,37406700.1,conventional,2019,Total U.S.
18/8/2019,1.32,37425679.57,conventional,2019,Total U.S.
25/8/2019,1.23,39340251.15,conventional,2019,Total U.S.
1/9/2019,1.23,40024359.99,conventional,2019,Total U.S.
8/9/2019,1.23,38757175.41,conventional,2019,Total U.S.
15/9/2019,1.21,38782069.87,conventional,2019,Total U.S.
22/9/2019,1.2,37132649.17,conventional,2019,Total U.S.
29/9/2019,1.15,39064517.23,conventional,2019,Total U.S.
6/10/2019,1.12,39479783.01,conventional,2019,Total U.S.
13/10/2019,1.11,38768168.4,conventional,2019,Total U.S.
20/10/2019,1.07,38477321.05,conventional,2019,Total U.S.
27/10/2019,1.04,39116432.88,conventional,2019,Total U.S.
3/11/2019,1.04,37329536.19,conventional,2019,Total U.S.
10/11/2019,1.01,39062078,conventional,2019,Total U.S.
17/11/2019,1.02,37883934,conventional,2019,Total U.S.
24/11/2019,1.06,34631238,conventional,2019,Total U.S.
1/12/2019,1.05,31319054,conventional,2019,Total U.S.
8/12/2019,0.96,39683131.73,conventional,2019,Total U.S.
15/12/2019,1.02,35174364.71,conventional,2019,Total U.S.
22/12/2019,1.03,34459834.98,conventional,2019,Total U.S.
29/12/2019,0.92,39387849.97,conventional,2019,Total U.S.
6/1/2020,0.97,46310705.72,conventional,2020,Total U.S.
12/1/2020,0.97,46524778.83,conventional,2020,Total U.S.
19/1/2020,0.93,48534972.05,conventional,2020,Total U.S.
26/1/2020,1.01,43938472.7,conventional,2020,Total U.S.
2/2/2020,0.85,63428864.75,conventional,2020,Total U.S.
9/2/2020,0.96,47887559.28,conventional,2020,Total U.S.
16/2/2020,1.02,42730997.99,conventional,2020,Total U.S.
23/2/2020,1.01,45009239.58,conventional,2020,Total U.S.
1/3/2020,1.09,43500148.34,conventional,2020,Total U.S.
8/3/2020,1.13,44303012,conventional,2020,Total U.S.
15/3/2020,1.16,51540125.03,conventional,2020,Total U.S.
22/3/2020,1.16,48981846.51,conventional,2020,Total U.S.
29/3/2020,1.19,46381647.4,conventional,2020,Total U.S.
5/4/2020,1.15,50361125.91,conventional,2020,Total U.S.
12/4/2020,1.2,47850537.28,conventional,2020,Total U.S.
19/4/2020,1.14,50089191.6,conventional,2020,Total U.S.
26/4/2020,1.15,52015534.19,conventional,2020,Total U.S.
3/5/2020,1.03,62179375.21,conventional,2020,Total U.S.
10/5/2020,1.09,58463220.4,conventional,2020,Total U.S.
17/5/2020,1.16,51690121.14,conventional,2020,Total U.S.
24/5/2020,1.11,56769152,conventional,2020,Total U.S.
31/5/2020,1.07,57509313,conventional,2020,Total U.S.
7/6/2020,1.08,54532348,conventional,2020,Total U.S.
14/6/2020,1.06,55007945,conventional,2020,Total U.S.
21/6/2020,1.08,52151483.63,conventional,2020,Total U.S.
28/6/2020,1.04,51723709.35,conventional,2020,Total U.S.
5/7/2020,1.06,55608056.7,conventional,2020,Total U.S.
12/7/2020,1.04,51081492.98,conventional,2020,Total U.S.
19/7/2020,1.01,51962253.46,conventional,2020,Total U.S.
26/7/2020,0.99,52057098.76,conventional,2020,Total U.S.
2/8/2020,1.01,49849471.46,conventional,2020,Total U.S.
9/8/2020,1.01,49948467.53,conventional,2020,Total U.S.
16/8/2020,0.98,50813602.8,conventional,2020,Total U.S.
23/8/2020,0.96,51973374,conventional,2020,Total U.S.
30/8/2020,0.95,50629756.96,conventional,2020,Total U.S.
6/9/2020,0.97,51000908.97,conventional,2020,Total U.S.
13/9/2020,0.94,49198202.51,conventional,2020,Total U.S.
20/9/2020,0.94,47745997.97,conventional,2020,Total U.S.
27/9/2020,0.96,46413054.99,conventional,2020,Total U.S.
4/10/2020,0.96,46148476.45,conventional,2020,Total U.S.
11/10/2020,0.95,46520087.91,conventional,2020,Total U.S.
18/10/2020,0.94,44682650.61,conventional,2020,Total U.S.
25/10/2020,0.91,45104348.68,conventional,2020,Total U.S.
1/11/2020,0.92,45163178.34,conventional,2020,Total U.S.
8/11/2020,0.9,45167049.45,conventional,2020,Total U.S.
15/11/2020,0.91,44676102.51,conventional,2020,Total U.S.
22/11/2020,0.89,41214193.33,conventional,2020,Total U.S.
29/11/2020,0.89,36303871.76,conventional,2020,Total U.S.
